locus_tag	old_locus_tag	pf_name	description
PFDSM3638_RS01790	PFDSM3638_01785	PF0374	redox-regulated ATPase YchF
PFDSM3638_RS01795	PFDSM3638_01790	PF0373	ABC transporter substrate-binding protein
PFDSM3638_RS01800	PFDSM3638_01795	PF0372	molybdenum cofactor biosynthesis protein
PFDSM3638_RS01805	PFDSM3638_01800	PF0371	sodium-dependent transporter
PFDSM3638_RS01810	PFDSM3638_01805	PF0370	hydroxyacid dehydrogenase
PFDSM3638_RS01815	PFDSM3638_01810	PF0369	endoglucanase
PFDSM3638_RS01820	PFDSM3638_01815	PF0368	sulfite exporter TauE/SafE family protein
PFDSM3638_RS01825	PFDSM3638_01820	PF0367	hypothetical protein
PFDSM3638_RS01830	PFDSM3638_01825	PF0366	hypothetical protein
PFDSM3638_RS01835	PFDSM3638_01830	PF0365	DUF835 domain-containing protein
PFDSM3638_RS01840	PFDSM3638_01835	PF0364	tyrosine protein kinase
PFDSM3638_RS01845	PFDSM3638_01840	PF0363	beta-galactosidase
PFDSM3638_RS01850	PFDSM3638_01845	PF0362	SIS domain-containing protein
PFDSM3638_RS01855	PFDSM3638_01850	PF0361	ABC transporter ATP-binding protein
PFDSM3638_RS01860	PFDSM3638_01855	PF0360	ABC transporter ATP-binding protein
PFDSM3638_RS01865	PFDSM3638_01860	PF0359	ABC transporter permease
PFDSM3638_RS01870	PFDSM3638_01865	PF0358	ABC transporter permease
PFDSM3638_RS01875	PFDSM3638_01870	PF0357	CGP-CTERM sorting domain-containing protein
PFDSM3638_RS01880	PFDSM3638_01875	PF0356	beta-galactosidase
PFDSM3638_RS01885	PFDSM3638_01880	PF0355.1n	hypothetical protein
PFDSM3638_RS01890	PFDSM3638_01885	PF0355	VapC toxin family PIN domain ribonuclease
PFDSM3638_RS01895	PFDSM3638_01890	PF0354	PIG-L family deacetylase
PFDSM3638_RS01900	PFDSM3638_01895	PF0353	RNA ligase
PFDSM3638_RS01905	PFDSM3638_01900	PF0351	type III-B CRISPR module RAMP protein Cmr1
PFDSM3638_RS01910	PFDSM3638_01905	PF0350	cation transporter
PFDSM3638_RS01915	PFDSM3638_01910	PF0349	hypothetical protein
PFDSM3638_RS01925	PFDSM3638_01920	PF0390	DUF521 domain-containing protein
PFDSM3638_RS01930	PFDSM3638_01925	PF0391	hypothetical protein
PFDSM3638_RS01935	PFDSM3638_01930	PF0392	site-2 protease family protein
PFDSM3638_RS01940	PFDSM3638_01935	PF0393	CRISPR-associated endoribonuclease Cas6
PFDSM3638_RS01945	PFDSM3638_01940	PF0394	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
PFDSM3638_RS01950	PFDSM3638_01945	PF0395	HD family hydrolase
PFDSM3638_RS01955	PFDSM3638_01950	NA	NA
PFDSM3638_RS01960	PFDSM3638_01955	PF0397	GTP-binding protein
PFDSM3638_RS01965	PFDSM3638_01960	PF0398	hypothetical protein
PFDSM3638_RS01970	PFDSM3638_01965	PF0399	multidrug transporter
PFDSM3638_RS01975	PFDSM3638_01970	PF0400	TIGR01177 family methyltransferase
PFDSM3638_RS01980	PFDSM3638_01975	PF0401	methyltransferase
PFDSM3638_RS01985	PFDSM3638_01980	PF0402	UDP-glucose 4-epimerase
PFDSM3638_RS01990	PFDSM3638_01985	PF0403	hypothetical protein
PFDSM3638_RS01995	PFDSM3638_01990	PF0404	DUF58 domain-containing protein
PFDSM3638_RS02000	PFDSM3638_01995	PF0405	MoxR family ATPase
PFDSM3638_RS02005	PFDSM3638_02000	PF0406	DUF4350 domain-containing protein
PFDSM3638_RS02010	PFDSM3638_02005	PF0408	hypothetical protein
PFDSM3638_RS02015	PFDSM3638_02010	PF0409	hypothetical protein
PFDSM3638_RS02020	PFDSM3638_02015	PF0410	hypothetical protein
PFDSM3638_RS02025	PFDSM3638_02020	PF0411	oligosaccharyl transferase, STT3 subunit
PFDSM3638_RS02030	PFDSM3638_02025	PF0412	mechanosensitive ion channel family protein
PFDSM3638_RS02035	PFDSM3638_02030	PF0413	DUF432 domain-containing protein
PFDSM3638_RS02040	PFDSM3638_02035	PF0414	hypothetical protein
PFDSM3638_RS02045	PFDSM3638_02040	PF0415	dehydrogenase
PFDSM3638_RS02050	PFDSM3638_02045	PF0416	hypothetical protein
PFDSM3638_RS02055	PFDSM3638_02050	PF0417	DUF58 domain-containing protein
PFDSM3638_RS02060	PFDSM3638_02055	PF0418	MoxR family ATPase
PFDSM3638_RS02065	PFDSM3638_02060	PF0419	hypothetical protein
PFDSM3638_RS02070	PFDSM3638_02065	PF0420	hypothetical protein
PFDSM3638_RS02075	PFDSM3638_02070	PF0421	5-formaminoimidazole-4-carboxamide-1-(beta)-D- ribofuranosyl 5'-monophosphate synthetase
PFDSM3638_RS02080	PFDSM3638_02075	PF0422	phosphoribosylamine--glycine ligase
PFDSM3638_RS02090	PFDSM3638_02085	PF0425	hypothetical protein
PFDSM3638_RS02095	PFDSM3638_02090	PF0426	5-(carboxyamino)imidazole ribonucleotide synthase
PFDSM3638_RS02100	PFDSM3638_02095	PF0427	5-(carboxyamino)imidazole ribonucleotide mutase
PFDSM3638_RS02105	PFDSM3638_02100	PF0428	alanyl-tRNA editing protein AlaX
PFDSM3638_RS02110	PFDSM3638_02105	PF0429	sodium/proline symporter
PFDSM3638_RS02120	PFDSM3638_02115	PF0430	phosphoribosylglycinamide formyltransferase 2
PFDSM3638_RS02125	PFDSM3638_02120	PF0431	phosphoribosylformylglycinamidine cyclo-ligase
PFDSM3638_RS02130	PFDSM3638_02125	PF0432	HAD family hydrolase
PFDSM3638_RS02135	PFDSM3638_02130	PF0433	chemotaxis protein
PFDSM3638_RS02140	PFDSM3638_02135	NA	NA
PFDSM3638_RS10560		NA	NA
PFDSM3638_RS02145	PFDSM3638_02140	PF0432.3n	hypothetical protein
PFDSM3638_RS02150	PFDSM3638_02145	PF0435	ATP-binding protein
PFDSM3638_RS10565		NA	NA
PFDSM3638_RS02160	PFDSM3638_02155	PF0436	galactose oxidase
PFDSM3638_RS02165	PFDSM3638_02160	PF0437	hypothetical protein
PFDSM3638_RS02170	PFDSM3638_02165	PF0437.1n	hypothetical protein
PFDSM3638_RS02175	PFDSM3638_02170	PF0438	hypothetical protein
PFDSM3638_RS02180	PFDSM3638_02175	PF0439	hypothetical protein
PFDSM3638_RS02185	PFDSM3638_02180	PF0439.3n	hypothetical protein
PFDSM3638_RS02190	PFDSM3638_02185	PF0440	intein-containing adenosylcobalamin-dependent ribonucleoside-diphosphate reductase
PFDSM3638_RS02195	PFDSM3638_02190	PF0441	galactose-1-phosphate uridylyltransferase
PFDSM3638_RS02200	PFDSM3638_02195	PF0442	glycoside hydrolase family 1 protein
PFDSM3638_RS02205	PFDSM3638_02200	PF0443	MFS transporter
PFDSM3638_RS02210	PFDSM3638_02205	PF0444	hydrolase
PFDSM3638_RS02215	PFDSM3638_02210	PF0445	galactokinase
PFDSM3638_RS02225	PFDSM3638_02220	PF0447	IS6 family transposase ISPfu2
PFDSM3638_RS02230	PFDSM3638_02225	PF0448	hypothetical protein
PFDSM3638_RS02235	PFDSM3638_02230	PF0449	transporter
PFDSM3638_RS02240	PFDSM3638_02235	PF0450	glutamine synthetase
PFDSM3638_RS02245	PFDSM3638_02240	PF0451	hypothetical protein
PFDSM3638_RS02250	PFDSM3638_02245	PF0452	hypothetical protein
PFDSM3638_RS02255	PFDSM3638_02250	PF0453	hypothetical protein
PFDSM3638_RS02260	PFDSM3638_02255	PF0454	NAD(P)/FAD-dependent oxidoreductase
PFDSM3638_RS02265	PFDSM3638_02260	PF0455	ASCH domain-containing protein
PFDSM3638_RS02270	PFDSM3638_02265	PF0456	carboxypeptidase M32
PFDSM3638_RS02275	PFDSM3638_02270	PF0457	metalloprotease
PFDSM3638_RS02280	PFDSM3638_02275	PF0458	nicotinamide-nucleotide adenylyltransferase
PFDSM3638_RS02285	PFDSM3638_02280	PF0459	hydroxide adenosyltransferase
PFDSM3638_RS02290	PFDSM3638_02285	PF0460	hypothetical protein
PFDSM3638_RS02295	PFDSM3638_02290	PF0461	tRNA (cytidine(56)-2'-O)-methyltransferase
PFDSM3638_RS02300	PFDSM3638_02295	PF0462	hypothetical protein
PFDSM3638_RS02310	PFDSM3638_02305	PF0463	TIGR02253 family HAD-type hydrolase
PFDSM3638_RS02315	PFDSM3638_02310	PF0464	glyceraldehyde-3-phosphate:ferredoxin oxidoreductase
PFDSM3638_RS02320	PFDSM3638_02315	PF0465	glycosyl transferase
PFDSM3638_RS02325	PFDSM3638_02320	PF0466	hypothetical protein
PFDSM3638_RS02330	PFDSM3638_02325	PF0467	ATP-dependent protease LonB
PFDSM3638_RS02335	PFDSM3638_02330	PF0468	metalloprotease
PFDSM3638_RS02340	PFDSM3638_02335	PF0469	ASCH domain-containing protein
PFDSM3638_RS02345	PFDSM3638_02340	PF0470	ASCH domain-containing protein
PFDSM3638_RS02350	PFDSM3638_02345	PF0471	transposase
PFDSM3638_RS02355	PFDSM3638_02350	PF0472	class III signal peptide-containing protein
PFDSM3638_RS02360	PFDSM3638_02355	PF0473	Kae1-associated kinase Bud32
PFDSM3638_RS02365	PFDSM3638_02360	PF0474	DNA mismatch repair protein
PFDSM3638_RS02370	PFDSM3638_02365	PF0475	translation initiation factor IF-2B subunit alpha
PFDSM3638_RS02375	PFDSM3638_02370	PF0476	damage-inducible protein CinA
PFDSM3638_RS02380	PFDSM3638_02375	PF0477	alpha-amylase
PFDSM3638_RS02385	PFDSM3638_02380	PF0478	alpha-amylase
PFDSM3638_RS02390	PFDSM3638_02385	PF0479	hypothetical protein
PFDSM3638_RS02395	PFDSM3638_02390	PF0480	alpha/beta hydrolase
PFDSM3638_RS02400	PFDSM3638_02395	PF0481	translation initiation factor IF-2 subunit beta
PFDSM3638_RS02405	PFDSM3638_02400	PF0482	cell division protein
PFDSM3638_RS02410	PFDSM3638_02405	PF0483	hypothetical protein
PFDSM3638_RS02415	PFDSM3638_02410	PF0484	GTPase
PFDSM3638_RS02420	PFDSM3638_02415	PF0485	septum site-determining protein MinD
PFDSM3638_RS02425	PFDSM3638_02420	PF0486	EamA family transporter
PFDSM3638_RS02430	PFDSM3638_02425	PF0487	hypothetical protein
PFDSM3638_RS02435	PFDSM3638_02430	PF0488	30S ribosomal protein S6e
PFDSM3638_RS02440		NA	NA
PFDSM3638_RS02445	PFDSM3638_02440	PF0490	DUF2110 domain-containing protein
PFDSM3638_RS02450	PFDSM3638_02445	PF0491	transcription factor E
PFDSM3638_RS02455	PFDSM3638_02450	PF0492	hypothetical protein
PFDSM3638_RS02465	PFDSM3638_02460	PF0493	DUF460 domain-containing protein
PFDSM3638_RS02470	PFDSM3638_02465	PF0494	intein-containing DNA topoisomerase I
PFDSM3638_RS02475	PFDSM3638_02470	PF0495	reverse gyrase
PFDSM3638_RS02480	PFDSM3638_02475	PF0496	transcriptional regulator
PFDSM3638_RS02485	PFDSM3638_02480	PF0497	ArsR family transcriptional regulator
PFDSM3638_RS02490	PFDSM3638_02485	PF0498	hypothetical protein
PFDSM3638_RS02495	PFDSM3638_02490	PF0499	arginase
PFDSM3638_RS02500	PFDSM3638_02495	PF0500	class I SAM-dependent methyltransferase family protein
PFDSM3638_RS02505	PFDSM3638_02500	PF0501	NTPase
PFDSM3638_RS02510	PFDSM3638_02505	PF0502	ABC transporter ATP-binding protein
PFDSM3638_RS02515	PFDSM3638_02510	PF0503	iron ABC transporter permease
PFDSM3638_RS02520	PFDSM3638_02515	PF0504	tRNA(Met) cytidine acetyltransferase
PFDSM3638_RS02525	PFDSM3638_02520	PF0505	helix-turn-helix domain-containing protein
PFDSM3638_RS02530	PFDSM3638_02525	NA	NA
PFDSM3638_RS02535	PFDSM3638_02530	PF0507	hypothetical protein
PFDSM3638_RS02540	PFDSM3638_02535	PF0508	integral membrane glycosyltransferase
PFDSM3638_RS02550	PFDSM3638_02545	PF0510	nucleotide pyrophosphohydrolase
PFDSM3638_RS02555	PFDSM3638_02550	PF0511	DNA-3-methyladenine glycosylase 2 family protein
PFDSM3638_RS02560	PFDSM3638_02555	PF0512	transcriptional regulator
PFDSM3638_RS02565	PFDSM3638_02560	PF0513	aspartate aminotransferase family protein
PFDSM3638_RS02570	PFDSM3638_02565	PF0514	sodium:alanine symporter family protein
PFDSM3638_RS02575	PFDSM3638_02570	PF0515	DUF4129 domain-containing protein
PFDSM3638_RS02580	PFDSM3638_02575	PF0516	hypothetical protein
PFDSM3638_RS02585	PFDSM3638_02580	PF0517	MoxR family ATPase
PFDSM3638_RS02590	PFDSM3638_02585	PF0518	DUF58 domain-containing protein
PFDSM3638_RS02595	PFDSM3638_02590	PF0519	hypothetical protein
PFDSM3638_RS02600	PFDSM3638_02595	PF0520	MFS transporter
PFDSM3638_RS02605	PFDSM3638_02600	PF0521	hypothetical protein
PFDSM3638_RS02610	PFDSM3638_02605	PF0522	aromatic amino acid aminotransferase
PFDSM3638_RS02615	PFDSM3638_02610	PF0523	hypothetical protein
PFDSM3638_RS02620	PFDSM3638_02615	PF0524	ribbon-helix-helix protein, CopG family
PFDSM3638_RS02625	PFDSM3638_02620	PF0525	cell division protein FtsZ
PFDSM3638_RS02630	PFDSM3638_02625	PF0526	ParA family protein
PFDSM3638_RS02635	PFDSM3638_02630	PF0527	CopG family transcriptional regulator
PFDSM3638_RS02640	PFDSM3638_02635	PF0528	cobalt ABC transporter ATP-binding protein
PFDSM3638_RS02645	PFDSM3638_02640	PF0529	cobalt ABC transporter permease
PFDSM3638_RS02650	PFDSM3638_02645	PF0530	cobalt transporter
PFDSM3638_RS02655	PFDSM3638_02650	PF0531	cobalamin biosynthesis protein
PFDSM3638_RS02660	PFDSM3638_02655	PF0532	acetyl-CoA synthetase
PFDSM3638_RS02665	PFDSM3638_02660	PF0533	indolepyruvate ferredoxin oxidoreductase subunit alpha
PFDSM3638_RS02670	PFDSM3638_02665	PF0534	indolepyruvate ferredoxin oxidoreductase subunit beta
PFDSM3638_RS02675	PFDSM3638_02670	PF0535	transcriptional regulator
PFDSM3638_RS02685	PFDSM3638_02680	PF0536	IS6 family transposase ISPfu5
PFDSM3638_RS02690	PFDSM3638_02685	PF0537	hypothetical protein
PFDSM3638_RS02700	PFDSM3638_02695	PF0538	hypothetical protein
PFDSM3638_RS02705	PFDSM3638_02700	PF0539	IS982 family transposase ISPfu3
PFDSM3638_RS02710	PFDSM3638_02705	PF0540	thymidylate synthase (FAD)
PFDSM3638_RS02715	PFDSM3638_02710	PF0541	type II methionyl aminopeptidase
PFDSM3638_RS02725	PFDSM3638_02720	PF0542	molybdopterin molybdenumtransferase MoeA
PFDSM3638_RS02730	PFDSM3638_02725	PF0543	molybdopterin converting factor subunit 1
PFDSM3638_RS02735	PFDSM3638_02730	PF0544	hypothetical protein
PFDSM3638_RS02740	PFDSM3638_02735	PF0545	hypothetical protein
PFDSM3638_RS02745	PFDSM3638_02740	PF0546	hypothetical protein
PFDSM3638_RS02750	PFDSM3638_02745	PF0547	GTPase
PFDSM3638_RS02755	PFDSM3638_02750	PF0548	HypC/HybG/HupF family hydrogenase formation chaperone
PFDSM3638_RS02760	PFDSM3638_02755	PF0549	hydrogenase formation protein HypD
PFDSM3638_RS02765	PFDSM3638_02760	NA	NA
PFDSM3638_RS02770	PFDSM3638_02765	PF0551	hypothetical protein
PFDSM3638_RS02775	PFDSM3638_02770	PF0552	arsenical-resistance protein
PFDSM3638_RS02780	PFDSM3638_02775	PF0553	arsenate reductase ArsC
PFDSM3638_RS02785	PFDSM3638_02780	PF0554	gfo/Idh/MocA family oxidoreductase
PFDSM3638_RS02790	PFDSM3638_02785	PF0555	hypothetical protein
PFDSM3638_RS02795	PFDSM3638_02790	PF0556	hypothetical protein
PFDSM3638_RS02800	PFDSM3638_02795	PF0557	3-oxoacyl-ACP reductase
PFDSM3638_RS02805	PFDSM3638_02800	PF0558	cation transporter
PFDSM3638_RS02810	PFDSM3638_02805	PF0559	carbamoyltransferase HypF
PFDSM3638_RS02815	PFDSM3638_02810	PF0560	hypothetical protein
PFDSM3638_RS02820	PFDSM3638_02815	PF0561	hypothetical protein
PFDSM3638_RS02825	PFDSM3638_02820	PF0562	IS6 family transposase
PFDSM3638_RS02830	PFDSM3638_02825	PF0563	hypothetical protein
PFDSM3638_RS02840	PFDSM3638_02835	PF0564	ATP-dependent helicase
PFDSM3638_RS02845	PFDSM3638_02840	PF0565	hypothetical protein
PFDSM3638_RS02850	PFDSM3638_02845	PF0566	DUF499 domain-containing protein
PFDSM3638_RS02860	PFDSM3638_02855	PF0569	DUF365 domain-containing protein
PFDSM3638_RS02870	PFDSM3638_02865	PF0572	IGHMBP2 family helicase
PFDSM3638_RS02875	PFDSM3638_02870	PF0573	AbrB family transcriptional regulator
PFDSM3638_RS02880	PFDSM3638_02875	PF0574	PIN domain-containing protein
PFDSM3638_RS02890	PFDSM3638_02885	PF0575	PIN domain-containing protein
PFDSM3638_RS02900	PFDSM3638_02895	PF0577	ABC transporter ATP-binding protein
PFDSM3638_RS02905	PFDSM3638_02900	PF0578	hypothetical protein
PFDSM3638_RS02910	PFDSM3638_02905	PF0579	permease
PFDSM3638_RS02915	PFDSM3638_02910	PF0580	hypothetical protein
PFDSM3638_RS02920	PFDSM3638_02915	PF0581	hypothetical protein
PFDSM3638_RS02925	PFDSM3638_02920	PF0582	ABC transporter
PFDSM3638_RS02930	PFDSM3638_02925	PF0583	DrrA-related ABC transporter ATP-binding protein
PFDSM3638_RS02935	PFDSM3638_02930	PF0584	PadR family transcriptional regulator
PFDSM3638_RS02940	PFDSM3638_02935	PF0585	ATPase
PFDSM3638_RS02945	PFDSM3638_02940	PF0586	hypothetical protein
PFDSM3638_RS02950	PFDSM3638_02945	PF0587	hypothetical protein
PFDSM3638_RS02955	PFDSM3638_02950	PF0588	phosphoglucosamine mutase
PFDSM3638_RS02960	PFDSM3638_02955	PF0589	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
PFDSM3638_RS02965	PFDSM3638_02960	PF0590	mannosyl-3-phosphoglycerate phosphatase
PFDSM3638_RS02970	PFDSM3638_02965	PF0591	mannosyl-3-phosphoglycerate synthase
PFDSM3638_RS02975	PFDSM3638_02970	PF0592	hypothetical protein
PFDSM3638_RS02980	PFDSM3638_02975	PF0593	hypothetical protein
PFDSM3638_RS02985	PFDSM3638_02980	PF0594	ornithine carbamoyltransferase
PFDSM3638_RS02990	PFDSM3638_02985	PF0595	diphthine synthase
PFDSM3638_RS02995	PFDSM3638_02990	PF0596	mRNA 3'-end processing factor
PFDSM3638_RS03000	PFDSM3638_02995	PF0597	amidohydrolase
PFDSM3638_RS03005	PFDSM3638_03000	PF0598	aspartate carbamoyltransferase regulatory subunit
PFDSM3638_RS03010	PFDSM3638_03005	PF0599	aspartate carbamoyltransferase
PFDSM3638_RS03015	PFDSM3638_03010	PF0600	hypothetical protein
PFDSM3638_RS03020	PFDSM3638_03015	PF0601	phosphomethylpyrimidine kinase
PFDSM3638_RS03025	PFDSM3638_03020	PF0602	flavin reductase family protein
PFDSM3638_RS03030	PFDSM3638_03025	PF0603	hypothetical protein
PFDSM3638_RS03035	PFDSM3638_03030	PF0604	hydrogenase expression/formation protein HypE
PFDSM3638_RS03040	PFDSM3638_03035	PF0605	IS982 family transposase
PFDSM3638_RS03045	PFDSM3638_03040	PF0606	MFS transporter
PFDSM3638_RS03050	PFDSM3638_03045	PF0607	TBP-interacting protein
PFDSM3638_RS03055	PFDSM3638_03050	PF0608	NAD-dependent alcohol dehydrogenase
PFDSM3638_RS03060	PFDSM3638_03055	PF0609	hypothetical protein
PFDSM3638_RS03065	PFDSM3638_03060	PF0610	transcriptional regulator
PFDSM3638_RS03070	PFDSM3638_03065	PF0611	DUF763 domain-containing protein
PFDSM3638_RS03075	PFDSM3638_03070	PF0612	extradiol dioxygenase
PFDSM3638_RS03080	PFDSM3638_03075	PF0613	fructose 1,6-bisphosphatase
PFDSM3638_RS03085	PFDSM3638_03080	PF0614	inosine-5-monophosphate dehydrogenase
PFDSM3638_RS03090	PFDSM3638_03085	PF0615	hydrogenase nickel insertion protein HypA
PFDSM3638_RS03095	PFDSM3638_03090	PF0616	ATP-binding protein
PFDSM3638_RS03100	PFDSM3638_03095	PF0617	hydrogenase maturation peptidase HycI
PFDSM3638_RS03105	PFDSM3638_03100	PF0618	molybdenum cofactor guanylyltransferase
PFDSM3638_RS03110	PFDSM3638_03105	PF0619	DUF296 domain-containing protein
PFDSM3638_RS03115	PFDSM3638_03110	PF0620	hypothetical protein
PFDSM3638_RS03120	PFDSM3638_03115	PF0621	transcriptional regulator
PFDSM3638_RS03125	PFDSM3638_03120	PF0623	hypothetical protein
PFDSM3638_RS03130	PFDSM3638_03125	PF0624	DUF1931 domain-containing protein
PFDSM3638_RS03140	PFDSM3638_03135	PF0628	DUF3227 domain-containing protein
PFDSM3638_RS03145	PFDSM3638_03140	PF0629	hypothetical protein
PFDSM3638_RS03150	PFDSM3638_03145	PF0630	hypothetical protein
PFDSM3638_RS03155	PFDSM3638_03150	PF0631	radical SAM protein
PFDSM3638_RS03165	PFDSM3638_03160	PF0633	flavodoxin
PFDSM3638_RS03170	PFDSM3638_03165	PF0634	ATP-binding protein
PFDSM3638_RS03175	PFDSM3638_03170	PF0635	ATP-binding protein
PFDSM3638_RS03180	PFDSM3638_03175	PF0636	ATP-binding protein
PFDSM3638_RS03185	PFDSM3638_03180	PF0637	type I-A CRISPR-associated protein Cas8a2/Csa4
PFDSM3638_RS03190	PFDSM3638_03185	PF0638	type I-A CRISPR-associated protein Cas8a2/Csa4
PFDSM3638_RS03195	PFDSM3638_03190	PF0639	CRISPR-associated endonuclease Cas3''
PFDSM3638_RS03200	PFDSM3638_03195	PF0640	CRISPR-associated helicase Cas3'
PFDSM3638_RS03205	PFDSM3638_03200	PF0641	type I-A CRISPR-associated protein Cas5
PFDSM3638_RS03210	PFDSM3638_03205	PF0642	type I-A CRISPR-associated protein Cas7/Csa2
PFDSM3638_RS03215	PFDSM3638_03210	PF0643	hypothetical protein
PFDSM3638_RS03220	PFDSM3638_03215	PF0644	CRISPR locus-related DNA-binding protein
PFDSM3638_RS03230	PFDSM3638_03225	PF0646	gamma-glutamylcyclotransferase
PFDSM3638_RS03235	PFDSM3638_03230	PF0647	radical SAM/SPASM domain-containing protein
PFDSM3638_RS03240	PFDSM3638_03235	PF0648	hypothetical protein
PFDSM3638_RS03245	PFDSM3638_03240	PF0649	transcriptional regulator
PFDSM3638_RS03250	PFDSM3638_03245	PF0650	hypothetical protein
PFDSM3638_RS03255	PFDSM3638_03250	PF0651	hypothetical protein
PFDSM3638_RS03260	PFDSM3638_03255	PF0652	AAA family ATPase
PFDSM3638_RS03265	PFDSM3638_03260	PF0653	hypothetical protein
PFDSM3638_RS03270	PFDSM3638_03265	PF0654	hypothetical protein
PFDSM3638_RS03275	PFDSM3638_03270	PF0655	serine/threonine protein kinase
PFDSM3638_RS10640		NA	NA
PFDSM3638_RS03280	PFDSM3638_03275	PF0656	hypothetical protein
PFDSM3638_RS03285	PFDSM3638_03280	PF0657	dihydrodipicolinate synthase family protein
PFDSM3638_RS03290	PFDSM3638_03285	NA	NA
PFDSM3638_RS03295		NA	NA
PFDSM3638_RS03300	PFDSM3638_03300	PF0660	[Fe-S]-binding protein
PFDSM3638_RS03305	PFDSM3638_03305	PF0661	TrmB family transcriptional regulator
PFDSM3638_RS03310	PFDSM3638_03310	PF0662	hypothetical protein
PFDSM3638_RS03315	PFDSM3638_03315	PF0663	hypothetical protein
PFDSM3638_RS03320	PFDSM3638_03320	PF0664	antibiotic biosynthesis monooxygenase
PFDSM3638_RS03325	PFDSM3638_03325	PF0665	hypothetical protein
PFDSM3638_RS03330	PFDSM3638_03330	PF0666	Fmu (Sun) domain-containing protein
PFDSM3638_RS03335	PFDSM3638_03335	PF0667	adenylosuccinate lyase
PFDSM3638_RS03340	PFDSM3638_03340	PF0668	deaminase
PFDSM3638_RS03345	PFDSM3638_03345	PF0669	GNAT family N-acetyltransferase
PFDSM3638_RS03350	PFDSM3638_03350	PF0670	ribosome biogenesis/translation initiation ATPase RLI
PFDSM3638_RS03355	PFDSM3638_03355	PF0670.1n	hypothetical protein
PFDSM3638_RS03360	PFDSM3638_03360	PF0671	methylmalonyl-CoA decarboxylase subunit alpha
PFDSM3638_RS03365	PFDSM3638_03365	PF0672	methylmalonyl-CoA epimerase
PFDSM3638_RS03370	PFDSM3638_03370	PF0673	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
PFDSM3638_RS03375	PFDSM3638_03375	PF0674	sodium ion-translocating decarboxylase subunit beta
PFDSM3638_RS03380	PFDSM3638_03380	PF0675	hypothetical protein
PFDSM3638_RS03385	PFDSM3638_03385	PF0676	carbamate kinase
PFDSM3638_RS03390	PFDSM3638_03390	PF0677	ATP-dependent DNA helicase
PFDSM3638_RS03395	PFDSM3638_03395	PF0678	tRNA (guanine-N2)-dimethyltransferase
PFDSM3638_RS03400	PFDSM3638_03400	PF0679	M48 family peptidase
PFDSM3638_RS03405	PFDSM3638_03405	PF0680	hypothetical protein
PFDSM3638_RS03410	PFDSM3638_03410	PF0681	hypothetical protein
PFDSM3638_RS10575		NA	NA
PFDSM3638_RS03415	PFDSM3638_03415	PF0684	hypothetical protein
PFDSM3638_RS03420	PFDSM3638_03420	PF0685	hypothetical protein
PFDSM3638_RS03425	PFDSM3638_03425	PF0686	hypothetical protein
PFDSM3638_RS03430	PFDSM3638_03430	PF0687	transcription initiation factor IIB
PFDSM3638_RS03435	PFDSM3638_03435	PF0688	serine protease
PFDSM3638_RS03445		NA	NA
PFDSM3638_RS03450	PFDSM3638_03445	PF0691	transcriptional regulator
PFDSM3638_RS03455	PFDSM3638_03450	NA	NA
PFDSM3638_RS03460	PFDSM3638_03455	PF0693	hypothetical protein
PFDSM3638_RS03465	PFDSM3638_03460	PF0694	MBL fold hydrolase
PFDSM3638_RS03470	PFDSM3638_03465	PF0695	DUF438 domain-containing protein
PFDSM3638_RS03475	PFDSM3638_03470	PF0696	cupin domain-containing protein
PFDSM3638_RS03480	PFDSM3638_03475	PF0697	MFS transporter
PFDSM3638_RS03485	PFDSM3638_03480	PF0698	MFS transporter
PFDSM3638_RS10580		NA	NA
PFDSM3638_RS03490		NA	NA
PFDSM3638_RS10585		NA	NA
PFDSM3638_RS03495	PFDSM3638_03485	PF0702	aminopeptidase P family protein
PFDSM3638_RS03500	PFDSM3638_03490	PF0703	hypothetical protein
PFDSM3638_RS03505	PFDSM3638_03495	PF0704	DUF302 domain-containing protein
PFDSM3638_RS03510	PFDSM3638_03500	PF0705	cytochrome C biogenesis protein
PFDSM3638_RS03515	PFDSM3638_03505	PF0706	hypothetical protein
PFDSM3638_RS03520	PFDSM3638_03510	PF0706.1n	hypothetical protein
PFDSM3638_RS03530	PFDSM3638_03520	PF0708	MATE family efflux transporter
PFDSM3638_RS03535	PFDSM3638_03525	NA	NA
PFDSM3638_RS03545	PFDSM3638_03535	PF0714	flavodoxin
PFDSM3638_RS03550	PFDSM3638_03540	PF0715	NAD(P)H nitroreductase
PFDSM3638_RS03555	PFDSM3638_03545	PF0716	NAD(P)-dependent oxidoreductase
PFDSM3638_RS03560	PFDSM3638_03550	PF0717	class I SAM-dependent methyltransferase
PFDSM3638_RS03575	PFDSM3638_03560	PF0718	hypothetical protein
PFDSM3638_RS03580	PFDSM3638_03565	PF0719	nuclear transport factor 2 family protein
PFDSM3638_RS03585	PFDSM3638_03570	PF0720	hypothetical protein
PFDSM3638_RS03590	PFDSM3638_03580	PF0721	NADPH-dependent oxidoreductase
PFDSM3638_RS03595	PFDSM3638_03585	PF0722	peroxiredoxin
PFDSM3638_RS03600	PFDSM3638_03590	PF0723	ferrous iron transporter
